mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile1,ImageFile2,MatchSimilar,SequenceNumber,participant,source,date,expName,psychopyVersion,OS,frameRate
-0.286576149,-0.261186549,1,0,0,1.910625,number4,0,20,20,20,1,IMS/06-CrepidulaFornicata-03.jpg,SimilarSameOrder/06-01-AssimineaCalifornica.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.324786363,-0.258169957,1,0,0,0.97154,number9,0,21,21,21,1,IMS/16-PotamocorbulaAmurensis-02.jpg,SimilarSameFamily/16-01-CaryocorbulaContracta.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.323780833,-0.258169957,1,0,0,2.011035,number9,0,22,22,22,1,IMS/03-CarcinusMaenas-03.jpg,SimilarSameFamily/03-01-NectocarcinusIntegifrons.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.323780833,-0.258169957,1,0,0,0.99458,number9,0,23,23,23,1,IMS/02-AsteriasAmurensis-04.jpg,Match/02-AsteriasAmurensis-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.655606003,-0.240070409,1,0,0,1.5943,number12,0,24,24,24,1,IMS/11-MytiopsisSallei-01.jpg,SimilarSameFamily/11-02-DreissenaPolymorpha.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.501759722,-0.262192079,1,0,0,3.427435,number10,0,25,25,25,1,IMS/09-HydroidesSanctaecrucis-01.jpg,Match/09-HydroidesSanctaecrucis-07.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.252388171,-0.256158896,1,0,0,2.90943,number8,0,26,26,26,1,IMS/17-RapanaVenosa-02.jpg,Match/17-RapanaVenosa-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.428355999,-0.269230792,1,0,0,1.17737,number10,0,27,27,27,1,IMS/04-CharybdisJaponica-02.jpg,Match/04-CharybdisJaponica-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.235294096,-0.247109122,1,0,0,3.172025,number5,0,28,28,28,1,IMS/15-PernaViridis-01.jpg,SimilarSameOrder/15-02-SeptiferBilocularis.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.619406727,-0.26520867,1,0,0,1.68098,number2,0,29,29,29,1,IMS/07-EuchoneLimnicola-01.jpg,SimilarSameFamily/07-01-EudistyliaPolymorpha.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.447461078,-0.250125714,1,0,0,1.388335,number10,0,30,30,30,1,IMS/08-HemigrapsusSanguineus-02.jpg,SimilarSameFamily/08-01-CyclograpsusInteger.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.447461078,-0.250125714,1,0,0,1.611105,number10,0,31,31,31,1,IMS/16-PotamocorbulaAmurensis-03.jpg,SimilarSameGenus/16-01-PotamorcorubulaAdusta.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.108597317,-0.250125714,1,0,0,2.18305,number7,0,32,32,32,1,IMS/16-PotamocorbulaAmurensis-04.jpg,Match/16-PotamocorbulaAmurensis-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.125691277,-0.250125714,1,0,0,2.297505,number6,0,33,33,33,1,IMS/02-AsteriasAmurensis-03.jpg,SimilarSameOrder/02-01-HeliasterKubiniji.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.101558546,-0.243087001,1,0,0,1.709675,number6,0,34,34,34,1,IMS/12-PatiriellaRegularis-04.jpg,Match/12-PatiriellaRegularis-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.624434437,-0.253142305,1,0,0,2.19351,number11,0,35,35,35,1,IMS/01-VaricorbulaGibba-04.jpg,Match/01-VaricorbulaGibba-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.667672368,-0.233031696,1,0,0,1.64991,number12,0,36,36,36,1,IMS/13-PernaCanaliculus-02.jpg,SimilarSameOrder/13-02-SeptiferBilocularis.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.64856711,-0.277275097,1,0,0,1.844015,number1,0,37,37,37,1,IMS/05-CodiumFragile-03.jpg,SimilarSameFamily/05-01-TydemaniaExpeditions.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.563097079,-0.258169957,1,0,0,1.82619,number11,0,38,38,38,1,IMS/10-MyaJaponica-04.jpg,Match/10-MyaJaponica-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.534942227,-0.26420314,1,0,0,1.728195,number11,0,39,39,39,1,IMS/01-VaricorbulaGibba-01.jpg,SimilarSameFamily/01-01-LentidiumMediterraneum.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.642533927,-0.277275097,1,0,0,1.79739,number1,0,40,40,40,1,IMS/09-HydroidesSanctaecrucis-02.jpg,SimilarSameGenus/09-02-HydroidesDianthus.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
